"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Dyson Daniels","ATL","PG,SF,SG","11.1","5.3","3.8","0.6","2.4",".480",".603","0.9","74","29.6","1.7"
"Luguentz Dort","OKC","SG,SF","11.0","4.2","1.7","0.5","1.1",".426",".767","2.3","76","29.3","0.9"
"Terry Rozier","MIA","PG,SG OUT","11.0","3.0","3.1","0.1","0.7",".414",".845","1.5","47","22.4","1.2"
"Bilal Coulibaly","WAS","SG,SF OUT","10.9","4.8","2.8","0.7","1.2",".422",".735","1.1","71","32.3","1.9"
"Saddiq Bey","NOR","SF,PF","10.9","4.5","1.2","0.1","0.7",".420",".849","1.5","75","25.7","0.7"
"Harrison Barnes","SAS","SF,PF","10.9","3.2","1.3","0.2","0.5",".484",".818","1.5","80","26.4","0.6"
"Max Strus","CLE","SG,SF","10.8","4.3","3.1","0.3","0.6",".430",".826","2.4","58","28.5","1.2"
"Egor Demin","BKN","PG,SG","10.8","3.0","4.4","0.4","0.9",".444",".769","0.7","75","25.4","1.8"
"Kyle Filipowski","UTH","C,PF","10.8","6.8","2.2","0.4","0.7",".506",".650","1.1","76","24.8","1.6"
"Gradey Dick","TOR","SG,SF","10.7","2.8","1.3","0.2","0.7",".416",".859","1.6","74","23.8","1.1"
"Daniel Gafford","DAL","C","10.7","6.4","1.3","1.6","0.5",".720",".683","0.0","74","21.9","1.1"
"Kel'el Ware","MIA","C,PF","10.5","8.5","1.2","1.2","0.7",".552",".689","0.6","75","25.5","1.0"
"Ausar Thompson","DET","PF,SF G-League","10.5","6.2","2.2","0.9","1.7",".512",".627","0.2","73","26.0","1.5"
"Derik Queen","NOR","C","10.4","5.5","1.6","0.9","0.8",".516",".738","0.2","72","23.9","1.3"
"Jaylen Wells","MEM","SF,SG","10.4","3.5","1.7","0.1","0.5",".431",".830","1.7","76","27.0","0.8"
"Santi Aldama","MEM","C,PF,SF","10.4","5.7","2.3","0.5","0.7",".472",".694","1.5","73","23.5","0.9"
"Jeremiah Fears","NOR","PG,SG","10.4","2.0","2.6","0.1","0.8",".434",".799","0.8","75","21.2","1.3"
"Tim Hardaway Jr.","DEN","SG,SF","10.3","2.5","1.5","0.1","0.5",".407",".833","2.0","77","24.5","0.6"
"Wendell Carter Jr.","ORL","C","10.2","7.6","1.9","0.7","0.8",".485",".727","0.8","75","27.1","1.2"
"Kevin Huerter","CHI","SG,SF","10.2","3.0","2.4","0.4","0.9",".439",".733","1.9","73","24.3","0.9"
"Guerschon Yabusele","NYK","C,PF,SF DTD","10.2","5.3","2.0","0.3","0.7",".516",".728","1.4","75","25.6","1.1"
"Bub Carrington","WAS","PG,SG","10.1","4.3","4.7","0.3","0.7",".406",".811","1.8","78","30.9","1.7"
"Isaiah Collier","UTH","PG,SG DTD","10.1","3.8","7.2","0.3","1.0",".426",".681","0.6","76","31.4","3.4"
"Corey Kispert","WAS","PF,SF,SG","10.1","2.5","1.4","0.2","0.4",".463",".802","1.9","74","22.7","0.9"
"Jaime Jaquez Jr.","MIA","SF,SG","10.0","4.4","2.8","0.2","1.0",".475",".779","0.7","75","24.1","1.5"
"Walker Kessler","UTH","C OUT","10.0","9.9","1.3","2.2","0.5",".674",".535","0.1","76","28.1","1.3"
"Zach Edey","MEM","C G-League","9.9","9.2","1.1","1.4","0.5",".575",".705","0.3","72","24.4","1.4"
"Brook Lopez","LAC","C","9.9","3.8","1.2","1.5","0.5",".524",".810","1.2","78","23.5","0.8"
"GG Jackson II","MEM","SF,PF","9.8","3.7","1.1","0.3","0.5",".408",".742","1.4","70","19.9","1.2"
"Aaron Wiggins","OKC","SG,SF","9.8","3.4","1.4","0.2","0.7",".501",".824","1.3","77","19.7","0.8"
"Sam Hauser","BOS","SF,PF DTD","9.8","4.1","1.2","0.3","0.7",".446",".901","2.7","76","24.0","0.5"
